date,open,close,high,low,volume,amount
2024-01-02,1889.02,1855.92,1889.02,1855.73,115953946.0,179336679576.05
2024-01-03,1850.16,1834.73,1856.44,1825.55,107536678.0,167194107306.31
2024-01-04,1831.29,1801.76,1831.38,1794.0,93991270.0,150294363209.69
2024-01-05,1798.82,1775.58,1815.07,1765.72,101696297.0,159496421601.84
2024-01-08,1769.33,1744.41,1779.38,1744.24,89969738.0,142332496824.85
2024-01-09,1749.77,1750.78,1774.32,1738.0,99765193.0,152590701411.96
2024-01-10,1741.13,1743.2,1771.68,1726.56,98601941.0,145099691648.53
2024-01-11,1744.3,1777.27,1790.33,1739.16,104955366.0,163904546781.19
2024-01-12,1770.97,1761.16,1785.51,1760.87,102317740.0,152978543837.08
2024-01-15,1751.52,1745.61,1766.26,1738.54,86196863.0,130386881951.08
2024-01-16,1741.37,1752.23,1755.38,1724.64,96260259.0,145248422620.57
2024-01-17,1747.77,1699.62,1747.77,1699.62,86299638.0,132832551235.05
2024-01-18,1685.94,1732.36,1735.09,1678.43,120941227.0,182209019572.25
2024-01-19,1726.55,1715.44,1743.3,1714.51,94103277.0,148549402466.81
2024-01-22,1710.29,1666.88,1714.93,1657.35,117732596.0,174689051023.85
2024-01-23,1663.98,1687.61,1700.57,1655.2,106465502.0,159109087023.2
2024-01-24,1696.56,1696.19,1700.77,1642.16,114237798.0,162853578351.9
2024-01-25,1686.55,1720.78,1720.85,1672.07,122868142.0,181545583126.71
2024-01-26,1703.48,1682.48,1714.53,1679.34,117351747.0,170491394057.26
2024-01-29,1680.15,1623.81,1685.6,1623.81,110529711.0,162726679942.06
2024-01-30,1613.46,1583.77,1631.53,1582.42,95337140.0,131103400738.55
2024-01-31,1585.21,1573.37,1601.89,1573.16,130116295.0,166572423229.78
2024-02-01,1567.83,1589.04,1616.4,1563.38,118663093.0,150465715465.79
2024-02-02,1585.96,1550.37,1595.98,1512.06,139680974.0,165877906814.45
2024-02-05,1534.19,1562.61,1600.33,1482.99,184791329.0,196172868062.34
2024-02-06,1544.96,1667.45,1668.89,1544.5,183716122.0,198499862838.7
2024-02-07,1663.18,1707.02,1711.42,1658.47,189088132.0,210687215918.84
2024-02-08,1716.63,1726.86,1764.39,1713.77,192337882.0,219535023776.6
2024-02-19,1752.86,1746.42,1752.86,1722.84,182448833.0,221972513028.14
2024-02-20,1739.03,1746.18,1749.27,1722.49,147868148.0,196270502338.16
2024-02-21,1728.45,1752.48,1783.81,1724.29,177509093.0,227652468774.68
2024-02-22,1752.79,1757.87,1761.12,1742.15,156242214.0,204125664577.63
2024-02-23,1766.96,1758.19,1767.26,1742.49,184459762.0,243084226812.38
2024-02-26,1752.76,1751.7,1768.1,1738.33,192437448.0,254309133426.64
2024-02-27,1743.49,1793.98,1793.98,1740.83,186627352.0,264736013369.51
2024-02-28,1799.61,1748.97,1829.14,1748.97,261460937.0,347604753266.05
2024-02-29,1739.97,1807.03,1809.66,1739.97,186859827.0,257163352226.02
2024-03-01,1808.2,1824.03,1830.94,1795.85,179223155.0,265744413293.34
2024-03-04,1827.13,1834.83,1847.25,1817.66,179182128.0,267809096640.69
2024-03-05,1818.59,1833.66,1843.08,1813.27,170275840.0,265925759287.53
2024-03-06,1822.54,1832.58,1855.61,1810.9,150306899.0,227200848064.3
2024-03-07,1830.26,1789.94,1838.71,1789.87,164771032.0,238945039111.29
2024-03-08,1793.51,1807.29,1813.1,1779.77,137115120.0,207854018403.55
2024-03-11,1817.07,1890.41,1890.87,1812.79,160529892.0,256133875994.21
2024-03-12,1896.45,1906.04,1915.09,1885.64,185203821.0,280641919112.37
2024-03-13,1911.98,1895.15,1911.98,1890.66,181745464.0,276725513279.63
2024-03-14,1895.73,1883.02,1912.11,1870.02,163976455.0,249070106777.78
2024-03-15,1877.57,1884.09,1886.95,1848.22,148672339.0,237382152552.83
2024-03-18,1906.12,1926.4,1926.4,1902.13,178792977.0,285294742186.07
2024-03-19,1917.92,1906.94,1925.69,1906.94,173103435.0,277456760587.35
2024-03-20,1898.18,1909.25,1915.47,1897.6,173063476.0,269810124050.1
2024-03-21,1912.81,1897.09,1920.55,1897.05,188961186.0,284068913944.0
2024-03-22,1893.14,1869.17,1897.31,1860.35,200894792.0,295657843340.47
2024-03-25,1864.53,1833.44,1871.06,1833.1,179402177.0,268690216350.14
2024-03-26,1832.66,1841.54,1856.2,1829.48,163736939.0,253211554015.67
2024-03-27,1840.19,1789.82,1840.19,1789.82,160450458.0,226295560925.06
2024-03-28,1790.58,1806.9,1829.47,1787.96,166557234.0,237575033721.18
2024-03-29,1806.67,1818.2,1822.75,1800.2,154791278.0,217252295265.92
2024-04-01,1833.49,1872.12,1872.12,1833.49,162047396.0,240420692420.52
2024-04-02,1869.32,1860.49,1869.96,1851.25,168030842.0,244229792529.81
2024-04-03,1853.56,1840.41,1853.87,1839.21,152065565.0,218014560504.63
2024-04-08,1834.45,1807.05,1840.55,1807.05,141326022.0,202923012586.06
2024-04-09,1807.48,1827.58,1827.68,1801.71,123544622.0,183115355162.06
2024-04-10,1818.41,1789.94,1818.73,1781.13,134716461.0,188668185938.06
2024-04-11,1777.2,1782.09,1799.86,1775.66,126469148.0,180139137963.43
2024-04-12,1780.99,1762.88,1789.27,1760.94,124825306.0,181935202186.45
2024-04-15,1770.17,1795.52,1807.95,1770.17,168221714.0,217304264348.98
2024-04-16,1783.57,1760.2,1791.3,1759.51,172826401.0,209825212204.48
2024-04-17,1765.29,1797.31,1797.55,1765.29,159990221.0,207002813099.46
2024-04-18,1784.78,1787.49,1807.79,1765.7,149372895.0,205378631363.08
2024-04-19,1772.18,1756.0,1775.38,1740.4,139553557.0,191991204458.29
2024-04-22,1739.01,1750.46,1766.25,1735.28,132054545.0,178696500220.0
2024-04-23,1753.58,1753.16,1764.77,1740.79,129549196.0,178489066068.99
2024-04-24,1757.31,1765.41,1768.24,1744.36,150216623.0,208741312294.4
2024-04-25,1753.12,1764.73,1778.8,1747.82,151405721.0,206301774627.32
2024-04-26,1767.72,1823.74,1826.49,1767.72,184375658.0,263592819865.13
2024-04-29,1831.44,1887.57,1904.92,1831.44,186745460.0,277576503879.92
2024-04-30,1874.68,1858.39,1878.83,1857.76,162180721.0,219039007967.77
2024-05-06,1896.84,1895.21,1907.02,1889.78,161040465.0,235736178830.72
2024-05-07,1896.72,1892.54,1900.94,1888.26,164718674.0,236764583670.58
2024-05-08,1887.82,1865.11,1887.82,1863.22,165941539.0,225525079037.71
2024-05-09,1872.7,1900.01,1903.11,1872.7,158275823.0,228084250434.89
2024-05-10,1899.05,1878.17,1900.1,1872.07,163497204.0,225068982859.08
2024-05-13,1859.34,1860.37,1876.17,1851.25,148801973.0,206351333599.74
2024-05-14,1864.39,1855.6,1873.14,1851.39,147873925.0,192341185283.83
2024-05-15,1857.58,1838.89,1866.41,1837.54,140058749.0,179896392038.47
2024-05-16,1846.98,1844.21,1861.38,1837.02,147068865.0,190380835635.81
2024-05-17,1838.99,1864.94,1865.9,1833.43,149789562.0,208187423488.51
2024-05-20,1869.55,1875.93,1887.05,1865.88,156277546.0,217240081792.59
2024-05-21,1871.78,1861.48,1873.09,1855.44,139081435.0,186846175948.95
2024-05-22,1863.14,1877.93,1883.17,1855.25,138468863.0,204131635426.67
2024-05-23,1876.56,1852.07,1879.62,1847.69,152265215.0,218396406983.74
2024-05-24,1845.01,1818.56,1861.93,1818.14,139625334.0,203692809136.23
