date,open,close,high,low,volume,amount
2024-01-02,2972.78,2962.28,2976.27,2962.28,304141793.0,345950729194.6
2024-01-03,2957.11,2967.25,2971.28,2953.29,285455945.0,321018391310.1
2024-01-04,2965.51,2954.35,2966.68,2936.63,264980924.0,296291346878.8
2024-01-05,2949.82,2929.18,2967.97,2916.72,301040239.0,325917001164.6
2024-01-08,2923.46,2887.54,2924.46,2887.54,270275055.0,290730589588.8
2024-01-09,2887.11,2893.25,2900.73,2878.41,262955975.0,294446373682.5
2024-01-10,2886.98,2877.7,2903.16,2870.42,244046526.0,281192192419.3
2024-01-11,2873.8,2886.65,2896.18,2867.72,267050764.0,298552532937.0
2024-01-12,2880.04,2881.98,2904.17,2878.88,261602931.0,282877466332.8
2024-01-15,2872.56,2886.29,2904.46,2869.22,244611236.0,269229737081.5
2024-01-16,2881.56,2893.99,2896.68,2861.13,286286714.0,300837919168.5
2024-01-17,2887.29,2833.62,2887.49,2833.62,261251308.0,283073939817.7
2024-01-18,2822.67,2845.78,2849.26,2760.98,390396855.0,400709904734.2
2024-01-19,2836.97,2832.28,2849.88,2822.84,266664388.0,296717043828.4
2024-01-22,2826.5,2756.34,2828.32,2735.37,350165758.0,359918989570.1
2024-01-23,2746.89,2770.98,2784.84,2724.16,308749417.0,312191330216.9
2024-01-24,2782.14,2820.77,2823.7,2743.4,369070600.0,357316181644.3
2024-01-25,2823.83,2906.11,2906.79,2821.71,442009045.0,437679811285.5
2024-01-26,2897.91,2910.22,2924.31,2890.48,421109084.0,402400231262.6
2024-01-29,2910.61,2883.36,2923.9,2883.33,410581311.0,397014731369.9
2024-01-30,2866.28,2830.53,2881.35,2829.25,335661226.0,329254005891.9
2024-01-31,2815.5,2788.55,2834.01,2782.59,377103965.0,355636999833.5
2024-02-01,2773.42,2770.74,2805.01,2752.78,352889185.0,337547960520.8
2024-02-02,2773.29,2730.15,2791.68,2666.33,426230199.0,392661142297.9
2024-02-05,2716.08,2702.19,2739.74,2635.09,478990292.0,424877418268.6
2024-02-06,2680.48,2789.49,2802.93,2669.67,502849313.0,441215054098.9
2024-02-07,2791.51,2829.7,2829.7,2770.53,547117439.0,495919878083.4
2024-02-08,2832.49,2865.9,2867.47,2827.9,531108893.0,482939732024.6
2024-02-19,2886.59,2910.54,2910.54,2867.71,458967704.0,442148454574.5
2024-02-20,2902.88,2922.73,2927.31,2887.47,350138735.0,357057491972.6
2024-02-21,2906.02,2950.96,2994.61,2898.05,444245463.0,450922050718.1
2024-02-22,2945.45,2988.36,2988.36,2944.5,354132536.0,365264217873.3
2024-02-23,2992.91,3004.88,3009.14,2979.97,380083270.0,398232220674.3
2024-02-26,3002.12,2977.02,3009.48,2967.06,409026558.0,427564895756.7
2024-02-27,2966.42,3015.48,3015.48,2961.15,372984687.0,412614978516.7
2024-02-28,3016.26,2957.85,3031.49,2957.85,544109093.0,576555221675.0
2024-02-29,2943.62,3015.17,3015.17,2943.62,409696374.0,452808746134.9
2024-03-01,3013.82,3027.02,3032.23,3003.76,379132184.0,442984248197.1
2024-03-04,3026.61,3039.31,3040.34,3007.68,387760002.0,461727516644.8
2024-03-05,3027.1,3047.79,3052.54,3022.18,383509955.0,458900476785.5
2024-03-06,3041.75,3039.93,3060.56,3034.35,340982739.0,401334635599.7
2024-03-07,3040.21,3027.4,3063.69,3023.12,377154391.0,423391257039.7
2024-03-08,3026.17,3046.02,3049.19,3016.9,319204392.0,370647474769.4
2024-03-11,3042.62,3068.46,3068.46,3035.45,361608821.0,427851361287.9
2024-03-12,3068.18,3055.94,3075.13,3044.86,415743914.0,494558502794.2
2024-03-13,3053.34,3043.83,3061.95,3031.9,365047453.0,442453946274.1
2024-03-14,3042.41,3038.23,3060.0,3020.64,364072290.0,436338838339.8
2024-03-15,3031.52,3054.64,3056.45,3023.22,360268463.0,405917703990.6
2024-03-18,3057.21,3084.93,3085.31,3055.92,406653508.0,485520636502.6
2024-03-19,3077.98,3062.76,3090.05,3062.63,384123680.0,446930657774.1
2024-03-20,3058.65,3079.69,3081.75,3056.65,349187729.0,407432569665.8
2024-03-21,3084.41,3077.11,3090.05,3069.27,366877968.0,437634616255.6
2024-03-22,3070.55,3048.03,3073.21,3027.76,394740486.0,456762466559.5
2024-03-25,3040.5,3026.31,3065.26,3026.31,387485389.0,443472341342.3
2024-03-26,3026.92,3031.48,3036.49,3006.26,345928787.0,396410716143.3
2024-03-27,3026.81,2993.14,3030.45,2993.14,343198010.0,376242896147.0
2024-03-28,2988.59,3010.66,3033.37,2984.12,353200026.0,392929088720.4
2024-03-29,3008.38,3041.17,3041.3,3008.17,334822785.0,364571210090.1
2024-04-01,3049.02,3077.38,3078.49,3049.02,375393640.0,420902006773.4
2024-04-02,3076.88,3074.96,3085.54,3063.98,367304262.0,396705813294.9
2024-04-03,3074.89,3069.3,3079.02,3057.4,363211380.0,392704394040.9
2024-04-08,3057.33,3047.05,3077.35,3045.47,402936740.0,421808399733.1
